folder,submitter,file_name
b62327fd-a2c9-4ed7-9d7b-84674c7e42de,TCGA-69-7979,e25887be-64fe-4e7c-983b-4fbdec52c4b7
3ca1d85e-feca-4cb8-8c75-0c5cb368bc07,TCGA-86-A456,91e79d93-01a8-4908-805a-12678d68a543
37e45db2-4c8f-4da8-95e3-aae3240c9605,TCGA-97-8174,d38959c4-8069-4963-8eca-0c66699df9a7
83a35831-ee54-4173-af18-367ec45a2986,TCGA-86-7954,d0966b4b-6c70-41f6-a220-4bf8be955366
23e1d067-71f8-4149-bfce-1719fdd87912,TCGA-97-8177,4b6c958a-7e20-4b88-b30a-2406b123c8c1
f04e10a6-89d0-4589-9504-76220880dfcc,TCGA-NA-A4QV,f60cab51-b9e1-4473-adf4-c603ae432d8d
6b92e877-5eb8-4e27-9c8b-5791401aa600,TCGA-22-1002,4bb272cb-9d6f-45da-a0fd-9527cdab49c1
b8cc5aeb-5c0f-4342-aa2f-422735049e0a,TCGA-63-7022,eb249bdc-0ba7-4fcd-a1b2-75390102668a
cf20f451-00b7-44ab-95f5-2b1619ec948f,TCGA-92-8065,af4e18e3-b98c-468f-b0d1-643fe3cd3760
e997e513-c860-461c-8bd2-a1c8dcbd6a97,TCGA-66-2786,ce8c79f1-aebf-4824-aa7a-5eb528c7015a
01fd9282-7945-4348-8035-1463c8b0890c,TCGA-96-8169,138a59d3-ccab-4bb2-ae53-c46b1db766a0
135f4224-ac9a-4bb9-8815-b9f332710698,TCGA-60-2706,4e42b890-26e2-4742-ad04-663e7fbc66fa
a66d3614-e8be-42c1-8836-f92135c7a2c4,TCGA-85-8351,1db59c3c-a6f8-4a45-9e1a-82b154577467
